architecture,correct,wrong_valid,malformed,abstained,n
transformer,0.00356753542760876,0.03190962243583391,0.4483202854028342,0.5162025567337232,10091
mamba2,0.003666633633931226,0.04439599643246457,0.007234169061539986,0.9447032008720642,10091
deltanet,9.909820632246556e-05,0.053513031414131405,9.909820632246556e-05,0.9462887721732237,10091
gated_deltanet,0.00089188385690219,0.07026062828262808,0.0002972946189673967,0.9285501932415023,10091
