architecture,n,appropriate_abstention_rate,unsignalled_failure_rate
deltanet,10091,0.9462887721732236,0.0536121296204538
gated_deltanet,10091,0.9285501932415025,0.0705579229015954
mamba2,10091,0.9447032008720642,0.0516301654940045
transformer,10091,0.5162025567337232,0.4802299078386681
