architecture,gap_control,gap_interval,gap_change,ci_low,ci_high
Transformer (no AHN),-0.006670524945082,-0.0251753784927534,-0.0185048535476713,-0.0506760740386623,0.0125425611348768
AHN-GatedDeltaNet,-0.0071515186172027,-0.0700197164186844,-0.0628681978014816,-0.0857647343415946,-0.0381536607300041
AHN-Mamba2,-0.0069934036293007,-0.1148236636478721,-0.1078302600185713,-0.1277768606322585,-0.0881128639578061
AHN-DeltaNet,-0.0072094475419235,-0.1218593560666849,-0.1146499085247614,-0.1360093060845834,-0.0939930968741236
