architecture,k_strict_acc,ci_low,ci_high
deltanet,218.42735802872065,215.87201277581144,236.9109635931731
gated_deltanet,239.997509057971,220.41520414443187,243.89516540700103
mamba2,219.61499125874124,217.23588037185309,237.4659427835209
transformer,208.3077080655527,207.1435953411224,209.4629264797589
