seed,deltanet,gated_deltanet,mamba2,transformer
0,72.03,70.76,71.43,36.13
1,69.83,67.0,72.0,34.33
2,74.06,62.56,71.17,37.08
3,74.64,58.43,69.73,36.63
4,61.9,60.3,60.77,30.33
5,64.6,60.49,70.96,39.32
6,74.23,57.81,76.02,31.11
7,68.27,63.37,70.22,30.01
seed_spread,12.740000000000002,12.950000000000003,15.249999999999993,9.309999999999999
