seed,deltanet,gated_deltanet,mamba2,transformer
0,219.54,219.64,219.6,207.22
1,214.99,220.17,217.34,208.43
2,221.18,241.77,219.44,209.01
3,215.63,248.92,217.12,207.4
4,217.47,242.04,220.01,208.19
5,219.22,240.1,219.85,208.99
6,240.76,243.04,218.99,207.92
7,218.47,243.22,238.37,209.14
