intended_model_tokens_after_target,n,strict,answered_valid,abstention,malformed
150,1536.0,0.8619791666666666,0.9650145772594753,0.10677083333333333,0.0
180,1536.0,0.8229166666666666,0.9376854599406528,0.12239583333333333,0.0
