a,b,diff,ci_low,ci_high,excludes_zero_raw,p_approx,p_holm,significant_holm
contradictory,entity-attribute,-0.07361111111111118,-0.10750271385149805,-0.04032487922705314,True,0.0,0.0,True
contradictory,numerical,0.13090277777777776,0.10016827179536615,0.1605936287416851,True,0.0,0.0,True
contradictory,temporal,0.2133680555555555,0.17695250012404792,0.25274259055526216,True,0.0,0.0,True
entity-attribute,numerical,0.20451388888888894,0.1696596934667587,0.2376247519841269,True,0.0,0.0,True
entity-attribute,temporal,0.2869791666666667,0.24514439326816967,0.3294282215180652,True,0.0,0.0,True
numerical,temporal,0.08246527777777773,0.04167736214714057,0.12442011870155037,True,0.0,0.0,True
